Title,Company,Location,Link
Software Engineer (Applications),Replica,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-applications-at-replica-4311774367?position=19&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=H9hw8GTH3vlbsiwDso%2BvSA%3D%3D
Software Engineer,hackajob,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-hackajob-4351878444?position=20&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=fMLuz9mv8IEE5LoWjjMnaw%3D%3D
Software Engineer (New Grad),Candid Health,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-candid-health-4339379080?position=21&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=%2BHpEC7pPvIiiKg2Q5z3AwA%3D%3D
Software Engineer - All Levels,GlossGenius,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-glossgenius-4286961888?position=22&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=ncjyTTYtd6R%2FjvauIE8HrQ%3D%3D
"Backend Software Engineer, CloudKitchens - New York City",CloudKitchens,"New York, NY",https://www.linkedin.com/jobs/view/backend-software-engineer-cloudkitchens-new-york-city-at-cloudkitchens-4164164423?position=23&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=ekAwuflDYOvA8%2F%2F0qGjV5A%3D%3D
"Software Engineer, New York",Talos,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-new-york-at-talos-4318505638?position=24&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=eGaRtUweD3ah0sMELyYAbA%3D%3D
New Grad Software Engineer,PointOne,"New York, NY",https://www.linkedin.com/jobs/view/new-grad-software-engineer-at-pointone-4363410699?position=25&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=l7Pr%2BSQXnbk4it%2FVOwLDxQ%3D%3D
Software Engineer (All Levels),Abridge,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-abridge-4339399245?position=26&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=9idkOMdYZzezrmDmNozu6w%3D%3D
Software Engineer - Backend / Fullstack,Vellum,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-backend-fullstack-at-vellum-4255951296?position=27&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=U64VRhSfWJKL180niTQlJg%3D%3D
Software Engineer - Frontend / Fullstack,Vellum,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-frontend-fullstack-at-vellum-4255948498?position=28&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=NSeBWO7TG0rq%2B%2FwtcK5UFA%3D%3D
Front End Engineer,Resonance,"New York County, NY",https://www.linkedin.com/jobs/view/front-end-engineer-at-resonance-4356656165?position=29&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=w85s%2BAUT58Y5LM%2BCj5EKDQ%3D%3D
"Software Engineer, Backend",Squarespace,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-backend-at-squarespace-4344446620?position=30&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=bi%2FS%2FmGDeVp9o0jQya%2B%2BAQ%3D%3D
"Software Engineer, Member (Web)",SoFi,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-member-web-at-sofi-4366669777?position=31&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=W60kACVqkfyYc2KTBzWu%2Bw%3D%3D
"Software Engineer, Frontend - Acuity",Squarespace,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-frontend-acuity-at-squarespace-4321782360?position=32&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=bedev8%2Bavc9NQacBhzBv0A%3D%3D
"Software Engineer, Early Career",Affirm,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-early-career-at-affirm-4325051149?position=33&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=UsPOLvY92vaw2qrQpprLUw%3D%3D
Software Engineer,Neon,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-neon-4343752769?position=34&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=z6jHT%2FkTXxxpoAibD7fGBQ%3D%3D
"Software Engineer, Frontend (All Teams)",DoorDash,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-frontend-all-teams-at-doordash-4191612607?position=35&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=YLCV4XhhuAs2c5djKMLZqg%3D%3D
"Software Engineer I, Entry-Level (Graduation Date: Fall 2025-Summer 2026)",DoorDash,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-i-entry-level-graduation-date-fall-2025-summer-2026-at-doordash-4309202141?position=36&pageNum=0&refId=2Z%2BirseYexpYQr%2F3rC5K5A%3D%3D&trackingId=5dSX4lyqJpkwExmcoT03RA%3D%3D
